bill_number,bill_type,congress,full_name_display,bioguide_id,person_id
190,s,117,"Menendez, Robert Jacobsen, Sr. (D-NJ-1)",M000639,51523
190,s,117,"Padilla, Alejandro (D-CA-1)",P000145,189610
190,s,117,"Shaheen, Cynthia Jeanne Bowers (D-NH-2)",S001181,66834
198,S,117,"Braun, Michael Kent (R-IN-2)",B001310,242475
198,S,117,"Van Hollen, Christopher J., Jr. (D-MD-2)",V000128,51658
200,S,117,"Feinstein, Dianne Goldman Berman (D-CA-2)",F000062,51184
205,S,117,"Kaine, Timothy Michael (D-VA-1)",K000384,175490
207,S,117,"Cramer, Kevin John (R-ND)",C001096,198816
212,S,117,"Baldwin, Tammy Suzanne Green (D-WI-2)",B001230,51260
212,S,117,"Moran, Gerald Wesley (R-KS-1)",M000934,51535
212,S,117,"Smith, Christine Elizabeth Flint (D-MN-1)",S001203,282320
215,S,117,"Cortez Masto, Catherine Marie (D-NV-2)",C001113,259552
222,S,117,"Durbin, Richard Joseph (D-IL-1)",D000563,51180
231,S,117,"Collins, Susan Margaret (R-ME-1)",C001035,51168
234,S,117,"Feinstein, Dianne Goldman Berman (D-CA-2)",F000062,51184
246,s,117,"Smith, Christine Elizabeth Flint (D-MN-1)",S001203,282320
248,S,117,"Schatz, Brian Emanuel (D-HI-2)",S001194,201768
251,S,117,"Rounds, Marion Michael (R-SD)",R000605,221844
1,S,117,"Casey, Robert Patrick, Jr. (D-PA-1)",C001070,51840
1,S,117,"Reed, John Francis (D-RI-1)",R000122,51223
2,s,117,"Markey, Edward John (D-MA-2)",M000133,51500
4,S,117,"Baldwin, Tammy Suzanne Green (D-WI-2)",B001230,51260
13,S,117,"Cramer, Kevin John (R-ND)",C001096,198816
14,S,117,"Durbin, Richard Joseph (D-IL-1)",D000563,51180
26,S,117,"Feinstein, Dianne Goldman Berman (D-CA-2)",F000062,51184
30,S,117,"Murphy, Christopher Scott (D-CT-2)",M001169,51493
31,S,117,"Romney, Willard Mitt (R-UT-2)",R000615,172424
32,S,117,"Luján, Ben Ray, Jr. (D-NM-2)",L000570,66871
35,S,117,"Leahy, Patrick Joseph (D-VT)",L000174,51206
35,S,117,"Schumer, Charles Ellis (D-NY-2)",S000148,51231
40,S,117,"Feinstein, Dianne Goldman Berman (D-CA-2)",F000062,51184
40,S,117,"Merkley, Jeffrey Alan (D-OR-1)",M001176,66836
42,S,117,"Wicker, Roger Frederick (R-MS-2)",W000437,51675
43,S,117,"Sasse, Benjamin Eric (R-NE-1)",S001197,12801
51,S,117,"Casey, Robert Patrick, Jr. (D-PA-1)",C001070,51840
51,S,117,"Reed, John Francis (D-RI-1)",R000122,51223
53,S,117,"Schumer, Charles Ellis (D-NY-2)",S000148,51231
56,S,117,"Van Hollen, Christopher J., Jr. (D-MD-2)",V000128,51658
57,S,117,"Kelly, Mark Edward (D-AZ-2)",K000377,163882
58,S,117,"Merkley, Jeffrey Alan (D-OR-1)",M001176,66836
59,S,117,"Rounds, Marion Michael (R-SD)",R000605,221844
60,S,117,"Inhofe, James Mountain (R-OK-2)",I000024,51195
61,S,117,"Sasse, Benjamin Eric (R-NE-1)",S001197,12801
65,S,117,"Scott, Richard Lynn (R-FL-2)",S001217,175586
65,S,117,"Scott, Timothy Eugene (R-SC-1)",S001184,151800
67,S,117,"Leahy, Patrick Joseph (D-VT)",L000174,51206
67,S,117,"Sanders, Bernard (I-VT)",S000033,51605
68,S,117,"Marshall, Roger Wayne (R-KS-2)",M001198,259544
